分類コード,金額,地域コード,年,月
5.4.1,194,13100,2025,5
5.4.2,1161,13100,2025,5
5.4.3,328,13100,2025,5
7.2.1,0,13100,2025,5
7.2.2,149,13100,2025,5
7.2.3,14526,13100,2025,5
9.4.1,8794,13100,2025,5
9.4.2,16005,13100,2025,5
9.4.3,8951,13100,2025,5
9.4.4,14909,13100,2025,5
10.1.1,5454,13100,2025,5
10.1.2,6635,13100,2025,5
10.1.3,3103,13100,2025,5
10.1.4,1291,13100,2025,5
10.1.5,15346,13100,2025,5
10.3.1,5015,13100,2025,5
10.3.2,61,13100,2025,5
10.3.3,284,13100,2025,5
10.3.4,2364,13100,2025,5
10.3.5,266,13100,2025,5
10.3.6,4403,13100,2025,5
10.3.7,3724,13100,2025,5
1.1.1,4918,14100,2025,5
1.1.2,3399,14100,2025,5
1.1.3,1641,14100,2025,5
1.1.4,540,14100,2025,5
1.2.1,3561,14100,2025,5
1.2.2,924,14100,2025,5
1.2.3,548,14100,2025,5
1.2.4,789,14100,2025,5
1.3.1,8029,14100,2025,5
1.3.2,2139,14100,2025,5
1.4.1,1459,14100,2025,5
1.4.2,2587,14100,2025,5
1.4.3,1108,14100,2025,5
1.5.1,6797,14100,2025,5
1.5.2,729,14100,2025,5
1.5.3,774,14100,2025,5
1.5.4,1110,14100,2025,5
1.6.1,2562,14100,2025,5
1.6.2,400,14100,2025,5
1.7.1,409,14100,2025,5
1.7.2,4047,14100,2025,5
1.9.1,5453,14100,2025,5
1.9.2,6741,14100,2025,5
1.10.1,1618,14100,2025,5
1.10.2,965,14100,2025,5
1.10.3,3676,14100,2025,5
1.12.1,21588,14100,2025,5
1.12.2,2123,14100,2025,5
2.2.1,268,14100,2025,5
2.2.2,48011,14100,2025,5
4.1.1,6216,14100,2025,5
4.1.2,7186,14100,2025,5
4.1.3,557,14100,2025,5
5.2.1,812,14100,2025,5
5.2.2,1532,14100,2025,5
5.2.3,591,14100,2025,5
5.3.1,1480,14100,2025,5
5.3.2,2113,14100,2025,5
5.3.3,445,14100,2025,5
5.4.1,342,14100,2025,5
5.4.2,673,14100,2025,5
5.4.3,350,14100,2025,5
7.2.1,0,14100,2025,5
7.2.2,0,14100,2025,5
7.2.3,18873,14100,2025,5
9.4.1,1720,14100,2025,5
